Price,Model,CPU,Graphics,RAM,HDD,SSD,Display,Battery,Weight,Thickness,Budget,Rate_From_10,Image_Url,Best_For,Final_Budget,Notes,Brand,Type
$1005,Asus Zenbook UX430UA,i7-8550U,Intel UHD Graphics 620,16GB,-,512GB,"14"" 1920x1080 IPS",9 hrs,2.75 lbs,0.6 in,Medium/Med-High,7,http://lappylist.com/images/laptop/Asus%20Zenbook%20UX390UA.jpg,"programming,mainstream",$1005 'Medium/Med-High',"programming,mainstream",Asus,Top
$1007,Lenovo ThinkPad T470p*,i5-7300HQ,Intel Graphics 630,8GB,500GB 7200RPM,-,"14"" 1920x1080 IPS",12.5 hrs,4 lbs,0.94 in,Medium/Med-High,9,http://lappylist.com/images/laptop/Lenovo%20Thinkpad%20460p.jpg,programming,$1007 'Medium/Med-High',programming,Lenovo,Top
$1046,Dell Latitude 15 E5580*,i5-7200U,Intel Graphics 620,8GB,500GB 7200RPM,-,"15.6"" 1920x1080 IPS",7 hrs,4.19 lbs,0.9 in,Medium/Med-High,10,http://www.lappylist.com/images/laptop/Dell%20Latitude%20E5550.jpg,programming,$1046 'Medium/Med-High',programming,Dell,Top
$1049,Dell XPS 13 9370 Dev. Edition,i5-8250U,Intel UHD Graphics 620,8GB,-,128GB PCIe,"13.3"" 1920x1080 IPS",22 hrs,2.67 lbs,0.46 in,Medium/Med-High,9,http://lappylist.com/images/laptop2018/Dell%20XPS%2013%209370%20Dev.jpg,programming,$1049 'Medium/Med-High',programming,Dell,Top
$1055,Lenovo ThinkPad T470s*,i5-7200U,Intel Graphics 620,8GB,-,128GB,"14"" 1920x1080 IPS",12.5 hrs,2.9 lbs,0.79 in,Medium/Med-High,9,http://www.lappylist.com/images/laptop/Lenovo%20ThinkPad%20T450s.jpg,programming,$1055 'Medium/Med-High',programming,Lenovo,Top
$1071,Lenovo ThinkPad Yoga 460*,i5-6200U,Intel Graphics 520,8GB,-,128GB,"14"" 1920x1080 IPS Touch w/ Pen",10 hrs,3.9 lbs,0.74 in,Medium/Med-High,8,http://lappylist.com/images/laptop/Lenovo%20ThinkPad%20Yoga%2015.jpg,convertible,$1071 'Medium/Med-High',convertible,Lenovo,Top
$1080,MSI GF63 THIN 9SC-614,Core i5-9300H,NVIDIA GTX 1650 4GB,8GB,-,512GB,"15.6"" 1920x1080 60Hz IPS",7 hrs,7.53 lbs,0.85 in,Medium/Med-High,7,https://lappylist.com/images/2020_laptop/MSI_GF63_THIN_9RCX_818.jpg,gaming,$1080 'Medium/Med-High',gaming,MSI,Top
$1099,HP Spectre 13,i7-7500U,Intel Graphics 620,8GB,-,256GB PCIe,"13.3"" 1920x1080 IPS",10 hrs,2.45 lbs,0.41 in,Medium/Med-High,9,http://lappylist.com/images/laptop/HP%20Spectre%2013.jpg,ultraportable,$1099 'Medium/Med-High',ultraportable,HP,Top
$1099,Lenovo Legion Y545 1650,Core i7-9750H,NVIDIA GTX 1650 4GB,16GB,1TB,256GB,"15.6"" 1920x1080 60Hz IPS",4 hrs,5.10 lbs,1.05 in,Medium/Med-High,8,https://lappylist.com/images/2020_laptop/Lenovo_Legion_Y545.jpg,gaming,$1099 'Medium/Med-High',gaming,Lenovo,Top
$1119,Dell XPS 15 9560 (i5 refurb),i5-7300HQ,Nvidia GTX 1050,8GB,-,256GB PCIe,"15.6"" 3840x2160 IPS Touch",6 hrs,4.3 lbs,0.67 in,Medium/Med-High,10,http://lappylist.com/images/laptop/Dell%20XPS%2015%209560.jpg,"programming,mainstream",$1119 'Medium/Med-High',"programming,mainstream",Dell,Top
$1149,Dell G5 15,Core i7-10750H,NVIDIA GTX 1650Ti 4GB,16GB,-,512GB,"15.6"" 1920x1080 60hz",7 hrs,5.5 lbs,1.22 in,Medium/Med-High,7,https://lappylist.com/images/2020_laptop/Dell_G5_15.jpg,gaming,$1149 'Medium/Med-High',gaming,Dell,Top
$1149,Dell XPS 13 9370,i5-8250U,Intel UHD Graphics 620,8GB,-,128GB PCIe,"13.3"" 1920x1080 IPS",22 hrs,2.67 lbs,0.46 in,Medium/Med-High,9,http://lappylist.com/images/laptop2018/Dell%20XPS%2013%209370.jpg,"programming,mainstream",$1149 'Medium/Med-High',"programming,mainstream",Dell,Top
$1151,Lenovo ThinkPad Yoga 260*,i5-6200U,Intel Graphics 520,8GB,-,128GB,"12.5"" 1920x1080 IPS Touch w/ Pen",10 hrs,2.9 lbs,0.7 in,Medium/Med-High,9,http://lappylist.com/images/laptop/Lenovo%20ThinkPad%20Yoga.jpg,convertible,$1151 'Medium/Med-High',convertible,Lenovo,Top
$1159,HP OMEN 15,Ryzen 7 4800H,NVIDIA GTX 1660 Ti 6GB,16GB,-,1TB,"15.6"" 1920x1080 144Hz IPS",6.5 hrs,5.22 lbs,0.90 in,Medium/Med-High,8,https://lappylist.com/images/2020_laptop/HP_OMEN_15.jpg,gaming,$1159 'Medium/Med-High',gaming,HP,Top
$1178,Acer Predator Helios 300,Core i7-10750H,NVIDIA RTX 2060 6GB,16GB,-,512GB,"15.6"" 1920x1080 144Hz IPS",3 hrs,5.07 lbs,0.90 in,Medium/Med-High,7,https://lappylist.com/images/2020_laptop/Acer_Predator_Helios_300.jpg,gaming,$1178 'Medium/Med-High',gaming,Acer,Top
$1186,Asus TUF A15 2060,Ryzen 7 4800H,NVIDIA RTX 2060 6GB,16GB,-,1TB,"15.6"" 1920x1080 144Hz IPS",8.5 hrs,5.07 lbs,0.98 in,Medium/Med-High,8,https://lappylist.com/images/2020_laptop/Asus_TUF_A15.jpg,gaming,$1186 'Medium/Med-High',gaming,Asus,Top
$1199,Asus TUF FX505,Ryzen 7 R7-3750H,NVIDIA RTX 2060 8GB,16GB,-,512GB,"15.6"" 1920x1080 60Hz IPS",4.5 hrs,4.85 lbs,1.00 in,Medium/Med-High,8,https://lappylist.com/images/2020_laptop/Asus_TUF_FX505.jpg,gaming,$1199 'Medium/Med-High',gaming,Asus,Top
$1199,Lenovo Legion Y540,Core i7-9750H,NVIDIA GTX 1650 4GB,24GB,1TB,512GB,"15.6"" 1920x1080 60Hz IPS",5 hrs,9.38 lbs,1.02 in,Medium/Med-High,8,https://lappylist.com/images/2020_laptop/Lenovo_Legion_Y540.jpg,gaming,$1199 'Medium/Med-High',gaming,Lenovo,Top
$1199,Lenovo Yoga 910 13,i7-7500U,Intel Graphics 620,8GB,-,256GB,"13.3"" 3200x1800 IPS Touch",10 hrs,2.8 lbs,0.59 in,Medium/Med-High,8,http://lappylist.com/images/laptop/Lenovo%20IdeaPad%20Yoga%20900.jpg,convertible,$1199 'Medium/Med-High',convertible,Lenovo,Top
$1202,Asus Zenbook UX303UB,i7-6500U,Nvidia GT 940M,12GB,-,512GB,"13.3"" 3200x1800 IPS Touch",7 hrs,3.2 lbs,0.76 in,Medium/Med-High,8,http://lappylist.com/images/laptop/ASUS%20Zenbook%20UX303LA.jpg,ultraportable,$1202 'Medium/Med-High',ultraportable,Asus,Top
$1229,Lenovo ThinkPad X1 Carbon,i5-7200U,Intel Graphics 620,8GB,-,128GB,"14"" 1920x1080 IPS",15.5 hrs,2.49 lbs,0.6 in,Medium/Med-High,10,http://lappylist.com/images/laptop/Lenovo%20ThinkPad%20X1%20Carbon%205th%20gen.jpg,programming,$1229 'Medium/Med-High',programming,Lenovo,Top
$1246,LG Gram 15 (8th Gen),i5-8250U,Intel UHD Graphics 620,8GB,-,256GB,"15.6"" 1920x1080 IPS",19 hrs,2.4 lbs,0.7 in,Medium/Med-High,7,http://lappylist.com/images/laptop2018/LG%20Gram%2015.jpg,mainstream,$1246 'Medium/Med-High',mainstream,LG,Top
$1249,Lenovo Yoga 900s,m7-6Y75,Intel Graphics 515,8GB,-,256GB PCIe,"12.5"" 2560x1440 IPS Touch",10.5 hrs,2.2 lbs,0.5 in,Medium/Med-High,8,http://lappylist.com/images/laptop/Lenovo%20Yoga%20900s.jpg,convertible,$1249 'Medium/Med-High',convertible,Lenovo,Top
$1279,Dell Latitude 15 E5590*,i5-8250U,Intel UHD Graphics 620,8GB,-,256GB PCIe,"15.6"" 1920x1080 IPS",7 hrs,4.14 lbs,0.8 in,Medium/Med-High,10,http://www.lappylist.com/images/laptop/Dell%20Latitude%20E5550.jpg,programming,$1279 'Medium/Med-High',programming,Dell,Top
$1279,HP Elitebook 1040 G4,i5-7200U,Intel Graphics 620,8GB,-,128GB,"14"" 1920x1080 IPS",18 hrs,2.99 lbs,0.63 in,Medium/Med-High,9,http://lappylist.com/images/laptop/HP%20Elitebook%201040%20G3.jpg,programming,$1279 'Medium/Med-High',programming,HP,Top
$1298,Asus ROG Zephyrus G14,Ryzen 9 4900HS,NVIDIA RTX 2060 6GB,16GB,-,1TB,"14.0"" 1920x1080 120hz IPS",7 hrs,3.64 lbs,0.70 in,Medium/Med-High,8,https://lappylist.com/images/2020_laptop/Asus_ROG_Zephyrus_G14.jpg,gaming,$1298 'Medium/Med-High',gaming,Asus,Top
$1299,Dell XPS 15 9560 (i5),i5-7300HQ,Nvidia GTX 1050,8GB,-,256GB,"15.6"" 3840x2160 IPS Touch",6 hrs,4.5 lbs,0.67 in,Medium/Med-High,10,http://lappylist.com/images/laptop/Dell%20XPS%2015%209560.jpg,"programming,mainstream",$1299 'Medium/Med-High',"programming,mainstream",Dell,Top
